"drug","target"
"DB00541","BE0000143"
"DB00541","BE0001391"
"DB00542","BE0000221"
"DB00543","BE0000092"
"DB00543","BE0000486"
"DB00543","BE0000501"
"DB00543","BE0000533"
"DB00543","BE0000647"
"DB00543","BE0000749"
"DB00543","BE0000756"
"DB00543","BE0004797"
"DB00543","BE0000020"
"DB00543","BE0000289"
"DB00543","BE0000291"
"DB00543","BE0000311"
"DB00543","BE0000389"
"DB00543","BE0000393"
"DB00543","BE0000442"
"DB00543","BE0000451"
"DB00543","BE0000581"
"DB00543","BE0000650"
"DB00543","BE0000797"
"DB00543","BE0000945"
"DB00543","BE0000146"
"DB00547","BE0000794"
"DB00552","BE0002214"
"DB00554","BE0000017"
"DB00554","BE0000262"
"DB00555","BE0002081"
"DB00557","BE0000442"
"DB00563","BE0000330"
"DB00564","BE0000197"
"DB00569","BE0000216"
"DB00569","BE0000280"
"DB00570","BE0000143"
"DB00570","BE0001340"
"DB00570","BE0001040"
"DB00570","BE0003711"
"DB00570","BE0003712"
"DB00570","BE0003713"
"DB00571","BE0000172"
"DB00571","BE0000694"
"DB00571","BE0000291"
"DB00571","BE0000797"
"DB00571","BE0001012"
"DB00572","BE0000045"
"DB00572","BE0000092"
"DB00572","BE0000560"
"DB00572","BE0000247"
"DB00572","BE0000405"
"DB00573","BE0000017"
"DB00573","BE0000262"
"DB00575","BE0000501"
"DB00575","BE0000575"
"DB00575","BE0000715"
"DB00575","BE0000289"
"DB00575","BE0000342"
"DB00575","BE0000572"
"DB00584","BE0000221"
"DB00588","BE0000657"
"DB00588","BE0000794"
"DB00588","BE0000557"
"DB00588","BE0000668"
"DB00590","BE0000090"
"DB00590","BE0000501"
"DB00590","BE0000575"
"DB00590","BE0000715"
"DB00590","BE0000462"
"DB00590","BE0000699"
"DB00591","BE0000794"
"DB00592","BE0002345"
"DB00594","BE0000895"
"DB00594","BE0000024"
"DB00594","BE0000190"
"DB00594","BE0000495"
"DB00594","BE0000497"
"DB00594","BE0000351"
"DB00594","BE0000353"
"DB00594","BE0000678"
"DB00594","BE0000752"
"DB00596","BE0000794"
"DB00598","BE0000172"
"DB00598","BE0000694"
"DB00598","BE0004863"
"DB00603","BE0000123"
"DB00603","BE0000557"
"DB00605","BE0000017"
"DB00605","BE0000262"
"DB00605","BE0000747"
"DB00605","BE0001007"
"DB00605","BE0003561"
"DB00605","BE0001062"
"DB00608","BE0000704"
