"smiles","drug","drugs"
"CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)C1=CC=C(O)C=C1","DB03613","DB03613"
"OC(=O)CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(=CS1)C1=CC=CC=C1Cl","DB04867","DB04867"
"O=C1Nc2nnnc2C(=O)N1","DB01875","DB01875"
"CN(C)C(=O)C1=CC(=CN1)C1=NNC=C1C1=CC=CC=C1","DB06877","DB06877"
"O[C@@]12CCN(C1=NC1=C(C=CC=C1)C2=O)C1=CC=CC=C1","DB07470","DB07470"
"CO[C@H]1C=CO[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(=NC(=O)C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C1=C2NC2=C(C=CC=C2O[Si](C)(C)C(C)(C)C)O1","DB04934","DB04934"
"OP(O)(=O)CCC(=C)C=O","DB03211","DB03211"
"CNCCC=CC1=CN=CC=C1","DB05855","DB05855"
"CCOC(=O)N1CCC(CC1)NC1=NC=CC(C)=C1","DB07388","DB07388"
"FC1=CC=C(C=C1)N1N=C(C=C1NS(=O)(=O)C1=CC=CC(F)=C1)C1=CC=CS1","DB08560","DB08560"
"CCCCCCCCCCCC[N+](C)(C)[O-]","DB04147","DB04147"
"CC[Hg]SC1=CC=CC=C1C(O)=O","DB02731","DB02731"
"CN1C=NC2=C1C(=O)NC(=O)N2C","DB01412","DB01412"
"[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](C)CC2=CC(=O)CC[C@]12C","DB01564","DB01564"
"NC1=CC=CC(=C1)C(O)=O","DB02054","DB02054"
"O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O","DB02076","DB02076"
"OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1","DB00557","DB00557"
"CCN(CC)S(=O)(=O)C1=CC(=CC=C1Br)C(=O)NC1=CC=CC=C1C(O)=O","DB07429","DB07429"
"c1ncnn1","DB03594","DB03594"
"NC1=CC=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1","DB03242","DB03242"
"[H][C@](N)(CSSCCC)C=O","DB03654","DB03654"
"CC1=CC=C2C(=O)[C@]3(O[C@@H]([C@H]([C@@H]3C(O)=O)C(=O)NC3=CC=C(C=C3)C3=CSN=N3)C3=CC=C(Cl)C(Cl)=C3)C(=O)C2=C1","DB04330","DB04330"
"CN(CC#C)CC1=CC=CC=C1","DB01626","DB01626"
"CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1","DB06209","DB06209"
"[H][C@](CN1C=CN=C1)(OCC1=CC=C(Cl)C=C1)C1=C(Cl)C=C(Cl)C=C1","DB07705","DB07705"
"CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O","DB01083","DB01083"
"CC(C)(CO[P@](O)(=O)O[P@@](O)(=O)OC[C@@H]1O[C@H]([C@H](O)[C@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)C(F)(F)F","DB01969","DB01969"
"[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1","DB01339","DB01339"
"[H][C@@](CCSC)(NC(O)=O)C(O)=O","DB02899","DB02899"
"CC1=NC(N)=NC(CNS(=O)(=O)C2=CC(NC=C3/CCOC3=O)=CC=C2)=C1","DB07325","DB07325"
"[H][C@](O)(CCC(O)=O)NC1=CC=C(C=C1)N1C(=O)CCC1=O","DB08378","DB08378"
"NC(COC(=O)NCCCOCCOCCOCCCNC1=C(NCCCN2CCN(CCCNC(=O)C3=CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC(=C3)[N+]([O-])=O)CC2)C(=O)C1=O)COC(=O)NCCCOCCOCCOCCCNC1=C(NCCCN2CCN(CCCNC(=O)C3=CC(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=CC(=C3)[N+]([O-])=O)CC2)C(=O)C1=O","DB02572","DB02572"
"CC[C@H]1[C@H](C)C2=CC3=C(C(C)=O)C(C)=C4C=C5[C@@H](C)[C@H](CCC(=O)OCC=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C6=[N+]5[Mg]5([N+]2=C1C=C1C(C)=C2C(=O)[C@@H](C(=O)OC)C6=C2N51)N34","DB01853","DB01853"
"O[C@H](CC(O)=O)C([O-])=O","DB03499","DB03499"
"NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2","DB02568","DB02568"
"[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O","DB00759","DB00759"
"CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C","DB00944","DB00944"
"N[C@@H](CC1=CC=CS1)C(O)=O","DB03673","DB03673"
